カテゴリ,料理名,単位,糖質[g]
料理,焼きとり タレ,1本,3.5
料理,麻婆豆腐,1食,7.5
料理,鶏の唐揚げ,1個,2.5
料理,さばの味噌煮,1食,7.5
料理,豚の生姜焼き,1食,7.5
料理,魚の煮付け,1食,7.5
料理,生麩の煮物,1食,7.5
料理,いわしのマリネ,1小鉢,7.5
料理,ひじきの煮もの,1小鉢,7.5
料理,ほうれん草の白和え,1小鉢,7.5
料理,かぼちゃのポタージュ,1食,15.0
料理,豚汁,1食,7.5
料理,コーンスープ,1食,7.5
料理,ワンタンスープ,1食,7.5
料理,豚肉の野菜炒め,1食,3.0
料理,鮭のみそマヨネーズ焼き,1食,3.0
料理,焼肉（たれなし）,1食,3.0
料理,アスパラの肉巻き,1食,3.0
料理,鶏のチーズ焼き,1食,3.0
料理,野菜のアンチョビ炒め,1食,3.0
料理,ホタテのバター焼き,1食,3.0
料理,チンジャオロウス,1食,3.0
料理,揚げ肉団子,1食,3.0
料理,魚のムニエル,1食,3.0
料理,湯豆腐,1食,3.0
料理,鮭のホイル焼き,1食,3.0
料理,あさりの酒蒸し,1食,3.0
料理,卵焼き,1食,3.0
料理,魚の塩焼き,1食,3.0
料理,焼きとり 塩,1本,1.0
料理,ゴーヤチャンプル,1食,3.0
料理,厚揚げ焼き,1食,3.0
料理,ビーフオムレツ,1食,3.0
料理,ツナサラダ,1食,3.0
料理,高野豆腐の煮物,1小鉢,3.0
料理,卯の花,1小鉢,3.0
料理,きゅうりの酢の物,1食,3.0
料理,グリーンサラダ,1食,3.0
料理,枝豆,1食,3.0
料理,冷やっこ,1食,3.0
料理,納豆,1食,3.0
料理,コールスローサラダ,1食,3.0
料理,オクラのごま和え,1食,3.0
料理,ナムル（ごま油和え）,1食,3.0
料理,エビとアボカドのサラダ,1食,3.0
料理,ほうれん草のおひたし,1食,3.0
料理,まぐろのさしみ,7切れ,1.0
料理,サーロインステーキ,1食,1.0
料理,サーモンステーキ,1食,1.0
料理,ハムエッグ,1食,1.0
料理,チキンソテー,1食,1.0
料理,アジの開き,1食,1.0
料理,わかめの味噌汁,1食,3.0
料理,すまし汁,1食,3.0
料理,中華スープ,1食,3.0
料理,オニオンスープ,1食,3.0
料理,コンソメスープ,1食,1.0
